FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
A2V-16_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
     608.8         8.038e-04       1.5      1.17     yes
     336.0         8.047e-04       1.7      1.06     yes
    2109.8         8.121e-04       0.9      1.08     yes
    1884.0         8.129e-04       1.7      1.05     yes
     633.8         8.195e-04       1.1      1.03     yes
    2358.2         8.235e-04       1.3      1.02     yes
     242.8         8.245e-04       1.9      1.00     yes
     159.8         8.290e-04       1.3      1.06     yes
     718.0         8.294e-04       2.1      1.15     yes
     179.5         8.302e-04       1.8      1.10     yes
    1115.8         8.319e-04       1.5      1.09     yes
    1294.8         8.416e-04       0.6      1.00     yes
     360.2         8.517e-04       1.3      1.04     yes
    1919.2         8.859e-04       3.0      1.11     yes
    1992.2         8.876e-04       3.6      1.00     yes
     206.2         8.938e-04       0.8      1.00     yes
     857.2         9.063e-04       0.7      1.00     yes
    1772.0         9.086e-04       1.7      1.22     yes
      42.2         9.124e-04       1.3      1.00     yes
    1755.2         9.255e-04       1.5      1.00     yes
      27.2         9.298e-04       0.8      1.00     yes
    1791.8         9.301e-04       1.2      1.01     yes
     224.0         9.321e-04       1.9      1.02     yes
      63.8         9.447e-04      12.1      1.14     NO*
    1413.0         9.507e-04       1.4      1.05     yes
     691.8         9.574e-04       3.0      1.26     yes
      88.8         9.619e-04       1.4      1.06     yes
     194.8         9.851e-04       0.7      1.00     yes
    1569.5         9.858e-04       2.5      1.03     yes
     112.0         9.926e-04       4.5      1.03     yes
     892.2         1.004e-03       2.9      1.00     yes
     135.0         1.023e-03       0.9      1.03     yes
    1436.0         1.039e-03       5.6      1.06     yes
    1838.0         1.080e-03       1.6      1.06     yes
    1813.2         1.117e-03       1.5      1.04     yes
    1637.0         1.144e-03       1.6      1.02     yes
    1543.2         1.165e-03       0.9      1.00     yes
    1743.8         1.217e-03       1.1      1.00     yes
    1614.0         1.465e-03       1.7      1.04     yes
    1589.8         1.557e-03       1.4      1.14     yes
    1660.8         1.606e-03       1.9      1.00     yes
    1525.0         1.697e-03       2.0      1.21     yes
    1726.0         1.812e-03       1.2      1.02     yes
    1681.5         1.959e-03       1.6      1.00     yes
    1707.2         2.381e-03       1.8      1.00     yes
    1458.8         3.846e-03       2.7      1.01     yes
    1506.8         4.951e-03       0.6      1.00     yes
    1479.0         6.612e-03       2.3      1.11     yes
    1861.2         2.625e-02      28.5     62.37     NO*
  consensus floor = 8.012e-04 mV^2/Hz over 98 clean bands  ->  Var(n) = 0.0032 mV^2  (RMS 56.6 uV)
  carrier a = 112.809 mV  ->  SNR = 63.0 dB in the 4 Hz demod band
