BPW34_2,Inano_1,Inano_2
-0.1053441371891013,-0.07194923930081476,0.07056949137516844
-0.10483711159012077,-0.0709399131432642,0.07173005827201995
-0.10429881627890536,-0.0698950831199352,0.07291010814847643
-0.10372953689625519,-0.0688153451828617,0.07410895849223897
-0.1031295888000805,-0.067701325697062,0.07532598053365125
-0.10249932417430063,-0.06655367632617559,0.07656046109303438
-0.10183908998912261,-0.06537307281471705,0.07781177532140582
-0.10114928903169496,-0.06416021564891505,0.07907923052934152
-0.10043031713556116,-0.06291582502142934,0.08036215445624961
-0.09968260711966304,-0.06164064340690467,0.08165989721703726
-0.09890661438260517,-0.06033542921190216,0.08297173625887933
-0.09810279719376291,-0.059000960228678956,0.08429702869329059
-0.09727166152804823,-0.057638026413924015,0.08563504361870788
-0.09641370421226647,-0.056247432880434545,0.086985086721038
-0.09552946262549922,-0.05482999498279051,0.08834644991503582
-0.09461948525260089,-0.053386535931708945,0.08971836525417443
-0.09368433140135113,-0.05191788938685038,0.09110012436915027
-0.09272459806161126,-0.050424888507128895,0.09249091505158435
-0.09174087421380073,-0.04890837506093726,0.09388996890323953
-0.09073378879141614,-0.047369186213469194,0.09529646593472074
-0.08970397323792234,-0.0458081594366736,0.09670953905876967
-0.08865207561634281,-0.04422612954808247,0.09812835132147524
-0.08757877080449594,-0.04262391922390096,0.09955195123217409
-0.08648472819038722,-0.04100235042335032,0.10097942895239909
-0.085370652681099,-0.03936222502418496,0.10240978615619967
-0.08423724557640921,-0.037704337888229356,0.10384198860026783
-0.08308522734436863,-0.03602946572979071,0.10527499535192364
-0.08191533459915168,-0.034338363862108645,0.10670764526700727
-0.08072830080131688,-0.03263177552144925,0.10813880681756738
-0.07952488774211686,-0.030910410629316876,0.10956722595493962
-0.07830584941770236,-0.029174965462902547,0.11099162029296816
-0.07707195828268132,-0.027426103403003554,0.11241065851773469
-0.07582399341512613,-0.025664461068137023,0.11382288755756576
-0.07456273205060449,-0.02389065185626127,0.11522686179512487
-0.0732889713670799,-0.022105247997636246,0.11662098333283344
-0.07200349804960127,-0.020308803572597234,0.11800362764369654
-0.0707071142295913,-0.018501829767655242,0.11937307556555676
-0.06940062112756384,-0.01668481129256516,0.12072748678281187
-0.06808481849740966,-0.014858202282648558,0.12206499577125374
-0.06676051830763485,-0.013022416374446233,0.12338355907277887
-0.06542852090435403,-0.01117784926054155,0.1246810988388184
-0.06408963868899131,-0.009324853025800994,0.12595539359255425
-0.06274467872561462,-0.007463761616269937,0.12720409838519975
-0.06139444746688749,-0.00559487982573903,0.1284247971468202
-0.0600397589423074,-0.0037184848615030575,0.12961486964823754
-0.05868141729326776,-0.0018348456578030636,0.13077163639913142
-0.05732023809981346,5.579783537784655e-05,0.13189221686777963
-0.05595703240521305,0.001953202249527941,0.1329735901360795
-0.05459261520683539,0.0038571347171659776,0.13401259587704306
-0.05322781111059499,0.005767357269891471,0.13500582890187934
-0.05186344279448313,0.007683610366264193,0.13594976630653566
-0.05050035150351795,0.009605621344391024,0.13684060168667456
-0.04913938423718445,0.011533065440889168,0.13767433213859837
-0.04778140619626048,0.01346557407064436,0.13844670148136157
-0.04642730696520175,0.015402701263946328,0.13915312167068877
-0.04507799535563756,0.017343903263566274,0.1397887600341841
-0.04373442204963307,0.01928852376132789,0.14034835310870203
-0.04239757197291666,0.02123574198376932,0.1408262956203995
-0.04106848320038431,0.023184558783396703,0.14121651714309452
-0.03974825740945548,0.025133733783355094,0.14151241546425014
-0.038438063876251316,0.02708174178569539,0.14170687580279268
-0.03713916921237653,0.029026713338707266,0.14179205506955184
-0.035852939008192586,0.03096634764101075,0.14175943414917164
-0.034580868997529046,0.032897843803700866,0.1415996094202685
-0.03332460580454999,0.034817778801836785,0.14130220207679467
-0.03208596679642123,0.036721999448727616,0.14085577114812192
-0.030866984838199107,0.03860547611523035,0.14024753920727595
-0.029669926809365782,0.040462133910267706,0.1394633563081009
-0.02849734582248667,0.04228467719394066,0.13848738029834784
-0.02735211971302698,0.044064361851887196,0.13730191864439417
-0.026237493400934314,0.045790777051453097,0.1358872156607567
-0.02515714187014051,0.04745158426647206,0.13422111780724222
-0.024115202978603506,0.049032263842349766,0.13227896955646762
-0.023116339034042727,0.050515875340980704,0.13003327487521216
-0.022165766143853988,0.05188283833216201,0.12745361531390975
-0.021269270776722443,0.0531108226999662,0.12450659083659066
-0.02043321199338405,0.054174738179498444,0.12115583710761113
-0.019664449496297837,0.05504695414653821,0.11736246547472734
