FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1258.2         4.794e-04       5.3      1.05     yes
     784.0         4.795e-04      12.9      1.00     NO*
     583.0         4.798e-04       3.9      1.01     yes
    1140.8         4.805e-04       6.9      1.27     NO*
    2421.0         4.827e-04       1.3      1.03     yes
    1166.0         4.835e-04       1.1      1.01     yes
     491.2         4.845e-04       1.1      1.05     yes
    1009.8         4.872e-04       7.1      1.24     NO*
     809.2         4.906e-04       1.8      1.03     yes
    2489.2         4.976e-04       1.0      1.01     yes
    1367.0         5.059e-04       1.6      1.14     yes
    1569.5         5.062e-04       0.8      1.01     yes
    1681.5         5.074e-04       3.2      1.08     yes
     830.0         5.094e-04       7.6      1.02     NO*
    1031.0         5.106e-04       9.7      1.28     NO*
    1458.8         5.126e-04       0.9      1.01     yes
     224.0         5.161e-04       2.3      1.09     yes
    1094.2         5.169e-04       1.3      1.00     yes
    1077.0         5.208e-04       6.6      1.00     NO*
    2220.0         5.214e-04       1.0      1.07     yes
     242.8         5.255e-04      26.5      1.00     NO*
    2240.8         5.299e-04       1.4      1.13     yes
    1543.2         5.309e-04       0.8      1.00     yes
     313.0         5.347e-04       2.0      1.00     yes
     718.0         5.381e-04      10.5      1.06     NO*
     382.0         5.423e-04       0.8      1.02     yes
    1331.2         5.424e-04       5.3      1.19     yes
     691.8         5.436e-04       5.2      1.13     yes
    2156.2         5.455e-04       1.9      1.00     yes
    1525.0         5.582e-04       2.2      1.04     yes
    1589.8         5.617e-04       1.6      1.00     yes
    1614.0         5.623e-04       1.6      1.01     yes
    1413.0         5.648e-04       1.0      1.06     yes
    1436.0         5.649e-04       1.4      1.02     yes
    1479.0         5.694e-04       2.0      1.09     yes
     135.0         5.727e-04       0.9      1.11     yes
    1278.0         5.754e-04       4.3      1.05     yes
    2062.0         5.916e-04       3.4      1.08     yes
    2085.0         5.959e-04       1.2      1.03     yes
     336.0         5.968e-04       1.1      1.18     yes
     159.8         5.975e-04       2.8      1.16     yes
    1707.2         6.121e-04       0.7      1.00     yes
    1726.0         6.139e-04       2.1      1.00     yes
     270.0         6.208e-04       1.5      1.09     yes
     112.0         6.621e-04      49.7      1.11     NO*
     194.8         6.626e-04       0.4      1.00     yes
     290.8         6.765e-04       1.3      1.05     yes
    1389.2         6.871e-04       1.3      1.17     yes
    1306.2         6.888e-04       1.5      1.00     yes
    1506.8         7.015e-04       1.3      1.00     yes
    1294.8         7.067e-04       0.9      1.00     yes
    1884.0         7.107e-04       1.2      1.08     yes
    1743.8         7.660e-04       0.9      1.00     yes
     206.2         7.862e-04       1.0      1.00     yes
     919.0         8.483e-04      19.9      1.00     NO*
      88.8         8.659e-04       1.1      1.02     yes
    1838.0         9.871e-04       2.1      1.12     yes
     360.2         1.018e-03      24.2      2.39     NO*
    1944.2         1.130e-03       1.1      1.00     yes
      42.2         1.154e-03       5.6      1.00     yes
    2109.8         1.164e-03       3.6      1.07     yes
    1955.8         1.200e-03       0.7      1.00     yes
     940.2         1.237e-03      18.7      1.03     NO*
    2131.0         1.357e-03       2.5      1.01     yes
    2028.8         1.422e-03       6.1      1.00     NO*
    1919.2         1.457e-03       3.8      1.23     yes
    1755.2         1.466e-03       1.1      1.00     yes
      27.2         1.735e-03       3.5      1.00     yes
      63.8         2.620e-03      60.0      1.78     NO*
    1973.0         3.043e-03       2.9      1.10     yes
     179.5         3.056e-03      37.9      7.24     NO*
    1813.2         4.234e-03       4.1      1.11     yes
    1772.0         4.643e-03       3.0      1.05     yes
    1992.2         5.298e-03       3.6      1.00     yes
    1791.8         1.023e-02       1.8      1.11     yes
    1861.2         1.165e-02      24.6     21.81     NO*
  consensus floor = 5.430e-04 mV^2/Hz over 82 clean bands  ->  Var(n) = 0.0022 mV^2  (RMS 46.6 uV)
  carrier a = 148.206 mV  ->  SNR = 67.0 dB in the 4 Hz demod band

========================================================================
Inano_2
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
